altura_cm,habilidades,nome,numero,peso_kg,proximas_evolucoes,tipos,url
0.6 m (2′00″),"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'efeito': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}]",Charmander,4,8.5 kg (18.7 lbs),"[{'numero': 5, 'nome': 'Charmeleon', 'url': 'https://pokemondb.net/pokedex/charmeleon'}, {'numero': 6, 'nome': 'Charizard', 'url': 'https://pokemondb.net/pokedex/charizard'}]",Fire,https://pokemondb.net/pokedex/charmander
1.0 m (3′03″),"[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]",Ivysaur,2,13.0 kg (28.7 lbs),"[{'numero': 3, 'nome': 'Venusaur', 'url': 'https://pokemondb.net/pokedex/venusaur'}]","Grass, Poison",https://pokemondb.net/pokedex/ivysaur
1.4 m (4′07″),"[{'nome': 'Vital Spirit', 'desc': 'Prevents sleep.', 'efeito': 'Vital Spirit prevents the ability-bearer from falling asleep. This means that it also prevents the use of the move Rest.', 'url': 'https://pokemondb.net/ability/vital-spirit'}]",Vigoroth,288,46.5 kg (102.5 lbs),"[{'numero': 289, 'nome': 'Slaking', 'url': 'https://pokemondb.net/pokedex/slaking'}]",Normal,https://pokemondb.net/pokedex/vigoroth
0.5 m (1′08″),"[{'nome': 'Flower Gift', 'desc': 'Powers up party Pokémon when it is sunny.', 'efeito': 'Flower Gift raises the Attack and Special Defense of all party Pokémon by 50% during harsh sunlight.', 'url': 'https://pokemondb.net/ability/flower-gift'}]",Cherrim,421,9.3 kg (20.5 lbs),,Grass,https://pokemondb.net/pokedex/cherrim
1.3 m (4′03″),"[{'nome': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'efeito': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'nome': 'Cursed Body', 'desc': 'May disable a move used on the Pokémon.', 'efeito': 'May disable a move used on the Pokémon.', 'url': 'https://pokemondb.net/ability/cursed-body'}]",Froslass,478,26.6 kg (58.6 lbs),,"Ice, Ghost",https://pokemondb.net/pokedex/froslass
1.3 m (4′03″),"[{'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'nome': 'Early Bird', 'desc': 'Awakens quickly from sleep.', 'efeito': 'The Pokémon awakens quickly from sleep.', 'url': 'https://pokemondb.net/ability/early-bird'}, {'nome': 'Pickpocket', 'desc': 'Steals an item when hit by another Pokémon.', 'efeito': 'Steals an item when hit by another Pokémon.', 'url': 'https://pokemondb.net/ability/pickpocket'}]",Shiftry,275,59.6 kg (131.4 lbs),,"Grass, Dark",https://pokemondb.net/pokedex/shiftry
2.2 m (7′03″),"[{'nome': 'Pressure', 'desc': 'Raises foe’s PP usage.', 'efeito': 'Pressure makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.', 'url': 'https://pokemondb.net/ability/pressure'}, {'nome': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'efeito': ""The Pokémon can check a foe's held item."", 'url': 'https://pokemondb.net/ability/frisk'}]",Dusknoir,477,106.6 kg (235.0 lbs),,Ghost,https://pokemondb.net/pokedex/dusknoir
1.4 m (4′07″),"[{'nome': 'Defeatist', 'desc': 'Lowers stats when HP becomes half or less.', 'efeito': 'When the HP of a Pokémon with Defeatist falls below 50%, its Attack and Special Attack stats are halved.', 'url': 'https://pokemondb.net/ability/defeatist'}]",Archeops,567,32.0 kg (70.5 lbs),,"Rock, Flying",https://pokemondb.net/pokedex/archeops
1.1 m (3′07″),"[{'nome': 'Levitate', 'desc': 'Not hit by GROUND attacks.', 'efeito': 'Levitate causes the Pokémon to be raised (like Flying-type Pokémon).', 'url': 'https://pokemondb.net/ability/levitate'}]",Cryogonal,615,148.0 kg (326.3 lbs),,Ice,https://pokemondb.net/pokedex/cryogonal
0.6 m (2′00″),"[{'nome': 'Natural Cure', 'desc': 'Heals upon switching out.', 'efeito': 'All status problems heal when it switches out.', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'nome': 'Serene Grace', 'desc': 'Promotes added effects.', 'efeito': ""Serene Grace doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items King's Rock and Razor Fang from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance)."", 'url': 'https://pokemondb.net/ability/serene-grace'}, {'nome': 'Friend Guard', 'desc': 'Reduces damage done to allies.', 'efeito': 'Reduces damage done to allies.', 'url': 'https://pokemondb.net/ability/friend-guard'}]",Happiny,440,24.4 kg (53.8 lbs),"[{'numero': 113, 'nome': 'Chansey', 'url': 'https://pokemondb.net/pokedex/chansey'}, {'numero': 242, 'nome': 'Blissey', 'url': 'https://pokemondb.net/pokedex/blissey'}]",Normal,https://pokemondb.net/pokedex/happiny
0.5 m (1′08″),"[{'nome': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'efeito': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'efeito': 'Raises evasion if the Pokémon is confused.', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'efeito': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}]",Chatot,441,1.9 kg (4.2 lbs),,"Normal, Flying",https://pokemondb.net/pokedex/chatot
3.2 m (10′06″),"[{'nome': 'Turboblaze', 'desc': 'Moves can be used regardless of Abilities.', 'efeito': ""Turboblaze prevents a target's ability from affecting moves that the Turboblaze Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/turboblaze'}]",Reshiram,643,330.0 kg (727.5 lbs),,"Dragon, Fire",https://pokemondb.net/pokedex/reshiram
0.8 m (2′07″),"[{'nome': 'No Guard', 'desc': 'Ensures the Pokémon and its foe’s attacks land.', 'efeito': 'No Guard ensures that all attacks used by, and targeted at, the ability-bearer hit without fail.', 'url': 'https://pokemondb.net/ability/no-guard'}]",Honedge,679,2.0 kg (4.4 lbs),"[{'numero': 680, 'nome': 'Doublade', 'url': 'https://pokemondb.net/pokedex/doublade'}, {'numero': 681, 'nome': 'Aegislash', 'url': 'https://pokemondb.net/pokedex/aegislash'}]","Steel, Ghost",https://pokemondb.net/pokedex/honedge
1.2 m (3′11″),"[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'efeito': 'Its Speed stat is gradually boosted.', 'url': 'https://pokemondb.net/ability/speed-boost'}]",Whirlipede,544,58.5 kg (129.0 lbs),"[{'numero': 545, 'nome': 'Scolipede', 'url': 'https://pokemondb.net/pokedex/scolipede'}]","Bug, Poison",https://pokemondb.net/pokedex/whirlipede
1.7 m (5′07″),"[{'nome': 'Water Absorb', 'desc': 'Changes water into HP.', 'efeito': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}]",Volcanion,721,195.0 kg (429.9 lbs),,"Fire, Water",https://pokemondb.net/pokedex/volcanion
2.5 m (8′02″),"[{'nome': 'Poison Point', 'desc': 'Poisons foe on contact.', 'efeito': 'Contact with the Pokémon may poison the attacker.', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Swarm', 'desc': 'Ups BUG moves in a pinch.', 'efeito': ""Swarm increases the power of Bug-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'efeito': 'Its Speed stat is gradually boosted.', 'url': 'https://pokemondb.net/ability/speed-boost'}]",Scolipede,545,200.5 kg (442.0 lbs),,"Bug, Poison",https://pokemondb.net/pokedex/scolipede
1.0 m (3′03″),"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Magician', 'desc': 'The Pokémon steals the held item of a Pokémon it hits with a move.', 'efeito': 'The Pokémon steals the held item of a Pokémon it hits with a move.', 'url': 'https://pokemondb.net/ability/magician'}]",Braixen,654,14.5 kg (32.0 lbs),"[{'numero': 655, 'nome': 'Delphox', 'url': 'https://pokemondb.net/pokedex/delphox'}]",Fire,https://pokemondb.net/pokedex/braixen
0.2 m (0′08″),"[{'nome': 'Disguise', 'desc': 'Once per battle, the shroud that covers the Pokémon can protect it from an attack.', 'efeito': 'Disguise allows the bearer to avoid damage for one attack, in a similar way to Substitute.', 'url': 'https://pokemondb.net/ability/disguise'}]",Mimikyu,778,0.7 kg (1.5 lbs),,"Ghost, Fairy",https://pokemondb.net/pokedex/mimikyu
1.2 m (3′11″),"[{'nome': 'Water Absorb', 'desc': 'Changes water into HP.', 'efeito': 'A Pokémon with Water Absorb heals 1⁄4 of its maximum HP when hit by a Water-type attack.', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'nome': 'Cursed Body', 'desc': 'May disable a move used on the Pokémon.', 'efeito': 'May disable a move used on the Pokémon.', 'url': 'https://pokemondb.net/ability/cursed-body'}, {'nome': 'Damp', 'desc': 'Prevents self-destruction.', 'efeito': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]",Frillish,592,33.0 kg (72.8 lbs),"[{'numero': 593, 'nome': 'Jellicent', 'url': 'https://pokemondb.net/pokedex/jellicent'}]","Water, Ghost",https://pokemondb.net/pokedex/frillish
