numero,nome,url,tipos,altura_cm,peso_kg,proximas_evolucoes,habilidades
1,Bulbasaur,https://pokemondb.net/pokedex/bulbasaur,"Grass, Poison",0.7 m (2′04″),6.9 kg (15.2 lbs),"[{'numero': 2, 'nome': 'Ivysaur', 'url': 'https://pokemondb.net/pokedex/ivysaur'}, {'numero': 3, 'nome': 'Venusaur', 'url': 'https://pokemondb.net/pokedex/venusaur'}]","[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]"
2,Ivysaur,https://pokemondb.net/pokedex/ivysaur,"Grass, Poison",1.0 m (3′03″),13.0 kg (28.7 lbs),"[{'numero': 3, 'nome': 'Venusaur', 'url': 'https://pokemondb.net/pokedex/venusaur'}]","[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}]"
3,Venusaur,https://pokemondb.net/pokedex/venusaur,"Grass, Poison",2.0 m (6′07″),100.0 kg (220.5 lbs),[],"[{'nome': 'Overgrow', 'desc': 'Ups GRASS moves in a pinch.', 'efeito': ""Overgrow increases the power of Grass-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/overgrow'}, {'nome': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'efeito': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'nome': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'efeito': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}]"
4,Charmander,https://pokemondb.net/pokedex/charmander,Fire,0.6 m (2′00″),8.5 kg (18.7 lbs),"[{'numero': 5, 'nome': 'Charmeleon', 'url': 'https://pokemondb.net/pokedex/charmeleon'}, {'numero': 6, 'nome': 'Charizard', 'url': 'https://pokemondb.net/pokedex/charizard'}]","[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'efeito': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}]"
5,Charmeleon,https://pokemondb.net/pokedex/charmeleon,Fire,1.1 m (3′07″),19.0 kg (41.9 lbs),"[{'numero': 6, 'nome': 'Charizard', 'url': 'https://pokemondb.net/pokedex/charizard'}]","[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'efeito': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}]"
6,Charizard,https://pokemondb.net/pokedex/charizard,"Fire, Flying",1.7 m (5′07″),90.5 kg (199.5 lbs),[],"[{'nome': 'Blaze', 'desc': 'Ups FIRE moves in a pinch.', 'efeito': ""Blaze increases the power of Fire-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'desc': 'Boosts Sp. Atk, but lowers HP in sunshine.', 'efeito': ""During harsh sunlight, Solar Power raises the ability-bearer's Special Attack by 50%, but it also loses 1⁄8 of its maximum HP after each turn."", 'url': 'https://pokemondb.net/ability/solar-power'}, {'nome': 'Tough Claws', 'desc': 'Powers up moves that make direct contact.', 'efeito': 'Tough Claws increases the power of moves that make contact.', 'url': 'https://pokemondb.net/ability/tough-claws'}, {'nome': 'Drought', 'desc': 'Summons sunlight in battle.', 'efeito': 'Drought creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via Air Lock or Cloud Nine or replaced by another weather condition.', 'url': 'https://pokemondb.net/ability/drought'}]"
7,Squirtle,https://pokemondb.net/pokedex/squirtle,Water,0.5 m (1′08″),9.0 kg (19.8 lbs),"[{'numero': 8, 'nome': 'Wartortle', 'url': 'https://pokemondb.net/pokedex/wartortle'}, {'numero': 9, 'nome': 'Blastoise', 'url': 'https://pokemondb.net/pokedex/blastoise'}]","[{'nome': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'efeito': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'efeito': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}]"
8,Wartortle,https://pokemondb.net/pokedex/wartortle,Water,1.0 m (3′03″),22.5 kg (49.6 lbs),"[{'numero': 9, 'nome': 'Blastoise', 'url': 'https://pokemondb.net/pokedex/blastoise'}]","[{'nome': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'efeito': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'efeito': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}]"
9,Blastoise,https://pokemondb.net/pokedex/blastoise,Water,1.6 m (5′03″),85.5 kg (188.5 lbs),[],"[{'nome': 'Torrent', 'desc': 'Ups WATER moves in a pinch.', 'efeito': ""Torrent increases the power of Water-type moves by 50% (1.5×) when the ability-bearer's HP falls below a third of its maximum (known in-game as in a pinch)."", 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Rain Dish', 'desc': 'Slight HP recovery in rain.', 'efeito': 'A Pokémon with Rain Dish will recover 1⁄16 of its maximum HP during rain, after each turn.', 'url': 'https://pokemondb.net/ability/rain-dish'}, {'nome': 'Mega Launcher', 'desc': 'Powers up aura and pulse moves.', 'efeito': 'Mega Launcher increases the power of all aura and pulse moves by 50%. Heal Pulse boosts the HP restored by 50%.', 'url': 'https://pokemondb.net/ability/mega-launcher'}]"
10,Caterpie,https://pokemondb.net/pokedex/caterpie,Bug,0.3 m (1′00″),2.9 kg (6.4 lbs),"[{'numero': 11, 'nome': 'Metapod', 'url': 'https://pokemondb.net/pokedex/metapod'}, {'numero': 12, 'nome': 'Butterfree', 'url': 'https://pokemondb.net/pokedex/butterfree'}]","[{'nome': 'Shield Dust', 'desc': 'Prevents added effects.', 'efeito': 'Blocks the added effects of attacks taken.', 'url': 'https://pokemondb.net/ability/shield-dust'}, {'nome': 'Run Away', 'desc': 'Makes escaping easier.', 'efeito': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}]"
